Model,ARC-Easy,BLiMP,HellaSwag,LAMBADA,Winogrande,Val Loss,Val PPL,PPL Impr%,Speedup
mixer_c4,0.4112,0.8247,0.3743,0.3148,0.5170,2.9045,18.2568,+2.51%,1.43×
shuffle_dyck_16_c4,0.4133,0.8193,0.3690,0.3179,0.5272,2.9102,18.3601,+1.96%,1.40×
identity_c4,0.4082,0.8242,0.3705,0.3088,0.5107,2.9131,18.4132,+1.68%,1.38×
counting_anbncn_c4,0.4154,0.8273,0.3675,0.3208,0.5170,2.9132,18.4162,+1.66%,1.38×
shuffle_dyck_32_c4,0.4040,0.8204,0.3662,0.3264,0.5138,2.9132,18.4165,+1.66%,1.38×
shuffle_dyck_8_c4,0.4108,0.8246,0.3664,0.3307,0.4893,2.9144,18.4372,+1.55%,1.38×
permutation_cycle_c4,0.4104,0.8223,0.3623,0.3167,0.5107,2.9164,18.4742,+1.35%,1.38×
periodic_c4,0.4082,0.8206,0.3684,0.3185,0.5083,2.9164,18.4743,+1.35%,1.38×
counting_anbn_c4,0.4040,0.8122,0.3624,0.3107,0.5264,2.9172,18.4888,+1.28%,1.37×
interleaving_c4,0.4141,0.8214,0.3661,0.3126,0.5130,2.9173,18.4912,+1.26%,1.38×
shuffle_dyck_64_c4,0.4120,0.8163,0.3645,0.3121,0.4901,2.9183,18.5106,+1.16%,1.37×
hierarchical_c4,0.4070,0.8222,0.3682,0.3121,0.5280,2.9185,18.5141,+1.14%,1.37×
copy_c4,0.4146,0.8229,0.3625,0.3223,0.5067,2.9214,18.5675,+0.86%,1.31×
nca_learnable_50_c4,0.4091,0.8193,0.3638,0.3119,0.4980,2.9263,18.6583,+0.37%,1.26×
nca_learnable_25_c4,0.4024,0.8144,0.3604,0.3198,0.5036,2.9264,18.6604,+0.36%,1.26×
c4_c4,0.4057,0.8200,0.3597,0.2998,0.5154,2.9295,18.7190,+0.05%,1.25×
c4,0.4078,0.8146,0.3644,0.3068,0.5114,2.9300,18.7277,N/A,N/A
composite_mirror_repeat_c4,0.4129,0.8232,0.3641,0.3097,0.5170,2.9317,18.7593,-0.17%,1.21×
random_c4,0.4066,0.8147,0.3602,0.3045,0.5130,2.9393,18.9030,-0.94%,N/A
nca_paper_c4,0.4070,0.8245,0.3561,0.3062,0.5020,2.9402,18.9198,-1.03%,N/A
